# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Sun Jun  7 20:20:50 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0015467 -1.00000 10.07918 0.0900000036 1.0816895926    0.090 -3.239  3.4439  5.358    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-17      0.00 7.449e-01 2.534e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.867 18.665 17.565 16.667 15.712 15.349 12.805 12.464
0.0015467 -1.00000 10.07918 0.0972700790 1.1478891549    0.097 -3.063  3.4687  5.316    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.18e-17      0.00 7.441e-01 2.543e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.427 17.369 16.434 15.490 14.666 14.303 12.205 11.927
0.0015467 -1.00000 10.07918 0.1000000015 1.1711064122    0.100 -3.000  3.4776  5.300    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-17      0.00 7.437e-01 2.546e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.270 16.935 16.050 15.091 14.312 13.949 11.998 11.741
0.0015467 -1.00000 10.07918 0.1200000048 1.3193154741    0.120 -2.719  3.5109  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-16      0.00 7.417e-01 2.567e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.567 15.319 14.580 13.617 12.960 12.597 11.147 10.952
0.0015467 -1.00000 10.07918 0.1400000006 1.4384526719    0.140 -2.534  3.5287  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-16      0.00 7.401e-01 2.583e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.105 14.456 13.776 12.849 12.228 11.867 10.627 10.457
0.0015467 -1.00000 10.07918 0.1599999964 1.5372931554    0.160 -2.393  3.5399  5.146    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-16      0.00 7.388e-01 2.596e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.751 13.877 13.231 12.336 11.732 11.374 10.244 10.088
0.0015467 -1.00000 10.07918 0.2000000179 1.6938791367    0.200 -2.172  3.5546  5.081    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.45e-16      0.00 7.373e-01 2.611e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.199 13.057 12.452 11.603 11.016 10.662 9.660 9.519
0.0015467 -1.00000 10.07918 0.2500000000 1.8403257998    0.250 -1.966  3.5661  5.019    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-16      0.00 7.370e-01 2.614e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.685 12.352 11.774 10.962 10.388 10.039 9.125 8.996
0.0015467 -1.00000 10.07918 0.3000000417 1.9529140366    0.300 -1.808  3.5749  4.974    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-18      0.00 7.371e-01 2.612e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.289 11.824 11.264 10.479 9.918 9.573 8.716 8.593
0.0015467 -1.00000 10.07918 0.3499999940 2.0434174644    0.350 -1.676  3.5822  4.939    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-15      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.960 11.390 10.846 10.083 9.534 9.193 8.377 8.260
0.0015467 -1.00000 10.07918 0.3528360128 2.0480412869    0.353 -1.667  3.5829  4.936    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.465e-01 2.519e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.937 11.358 10.815 10.054 9.506 9.166 8.353 8.237
0.0015467 -1.00000 10.07918 0.4000000060 2.1185024399    0.400 -1.523  3.5935  4.889    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.578 10.854 10.333 9.604 9.076 8.743 7.982 7.873
0.0015467 -1.00000 10.07918 0.4499999881 2.1822809009    0.450 -1.345  3.6104  4.830    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 8.133 10.189 9.704 9.026 8.536 8.218 7.521 7.421
0.0015467 -1.00000 10.07918 0.4992236197 2.2366529866    0.499 -1.146  3.6369  4.782    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.636 9.363 8.934 8.332 7.906 7.615 7.008 6.922
0.0015467 -1.00000 10.07918 0.5000000000 2.2374541529    0.500 -1.143  3.6373  4.781    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-15      0.00 7.470e-01 2.514e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 7.628 9.351 8.922 8.322 7.897 7.606 7.000 6.914
0.0015467 -1.00000 10.07918 0.5500000715 2.2836583126    0.550 -0.918  3.6704  4.730    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-15      0.00 7.811e-01 2.174e-01 2.564e-04 6.921e-05 6.280e-04 -1.000 1.432e-03 7.065 8.394 8.030 7.526 7.182 6.931 6.423 6.353
0.0015467 -1.00000 10.07918 0.6000000238 2.3211213258    0.600 -0.711  3.7008  4.682    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-14      0.00 7.889e-01 2.097e-01 2.488e-04 6.720e-05 6.100e-04 -1.000 1.388e-03 6.547 7.602 7.278 6.843 6.560 6.345 5.899 5.840
0.0015467 -1.00000 10.07918 0.6064124703 2.3254146885    0.606 -0.683  3.7050  4.676    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 7.899e-01 2.087e-01 2.477e-04 6.691e-05 6.074e-04 -1.000 1.390e-03 6.479 7.503 7.185 6.758 6.482 6.271 5.832 5.775
0.0015467 -1.00000 10.07918 0.6233355403 2.3362590706    0.623 -0.612  3.7161  4.660    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.929e-01 2.058e-01 2.448e-04 6.612e-05 6.004e-04 -1.000 1.362e-03 6.299 7.245 6.943 6.538 6.278 6.078 5.658 5.604
0.0015467 -1.00000 10.07918 0.6391172409 2.3457792150    0.639 -0.545  3.7262  4.645    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.956e-01 2.030e-01 2.419e-04 6.536e-05 5.935e-04 -1.000 1.386e-03 6.131 7.012 6.726 6.339 6.093 5.901 5.498 5.447
0.0015467 -1.00000 10.07918 0.6499999762 2.3520353107    0.650 -0.498  3.7331  4.633    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.977e-01 2.010e-01 2.399e-04 6.483e-05 5.887e-04 -1.000 1.337e-03 6.015 6.854 6.579 6.204 5.967 5.781 5.389 5.340
